"The Wandering Earth","CMC",5875487,129,"2/5/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjE2NzZlMGItMzA4OS00ZjRiLTk3NzItMDRkOGFlZmNhYzJkXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Sci-Fi", 125, "Unrated", N/A
"Gloria Bell","A24",5611123,1127,"3/8/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMTc5Nzc1OTk3OV5BMl5BanBnXkFtZTgwNDM1NTQ3NjM@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 102, "R", N/A
"Gully Boy","VPD",5566534,270,"2/14/2019", 2019, "https://m.media-amazon.com/images/M/MV5BZDkzMTQ1YTMtMWY4Ny00MzExLTkzYzEtNzZhOTczNzU2NTU1XkEyXkFqcGdeQXVyODY3NjMyMDU@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 153, "Unrated", N/A
"The Mustang","Focus",5043620,527,"3/15/2019", 2019, "https://m.media-amazon.com/images/M/MV5BNDkwYzBjOTItYTFhZC00ZWZlLTg1YzYtZWU4ZGZhZWI0MmNkXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 96, "R", N/A
"The Sun Is Also a Star","WB",4950029,2073,"5/17/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMDhiNzUzYTItMWFjYS00ZDUwLWIxNTItMTlmMzAxZjNmMTJkXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 100, "PG-13", N/A
"Tolkien","FoxS",4507370,1501,"5/10/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMjUzNzA1MDczOF5BMl5BanBnXkFtZTgwODY5OTI2NzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 112, "PG-13", N/A
"Uri: The Surgical Strike","PackYourBag",4186168,132,"1/11/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMWU4ZjNlNTQtOGE2MS00NDI0LWFlYjMtMmY3ZWVkMjJkNGRmXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_UY222_CR0,0,150,222_AL.jpg", "Action Drama", 138, "Unrated", N/A
"Replicas","ENTMP",4046429,2329,"1/11/2019", 2019, "https://m.media-amazon.com/images/M/MV5BZGQxYTZlYzQtNjk3NS00MjVhLTkxZTYtMDk2ODlkMGJkYzBhXkEyXkFqcGdeQXVyMTk5MzE1MTY@._V1_UY222_CR0,0,150,222_AL.jpg", "Sci-Fi Thriller", 107, "PG-13", N/A
"The Oscar Nominated Short Films 2019","Shrts.",3531094,415,"2/8/2019", 2019, "https://m.media-amazon.com/images/M/MV5BNmI2NzM0YWYtMDBhMC00NjUxLWEzYzgtYjdjZjc3ODcxNGZlXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", undefined, "Unrated", N/A
"BTS World Tour: Love Yourself in Seoul","Fathom",3509917,997,"1/26/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYzJhMGVhMTgtM2M1NS00MmE3LTllOTUtYmEwNzFkYjk3Y2JjXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_UY222_CR0,0,150,222_AL.jpg", "Documentary", 112, "Unrated", N/A
